state,middate,daysleft,pollster,clinton,trump
AL,8/13/16,87,Google Consumer Surveys,19.55,54.53
AL,8/8/16,92,Ipsos,36.3,54.53
AL,8/20/16,80,SurveyMonkey,31,53
AL,10/28/16,11,SurveyMonkey,35,55
AL,10/27/16,12,Ipsos,38.37,55.07
AL,8/22/16,78,Ipsos,39.39,51.54
AL,11/4/16,4,Google Consumer Surveys,20.23,60.67
AL,9/17/16,52,Google Consumer Surveys,18.35,55.11
AL,9/3/16,66,Google Consumer Surveys,21.28,55.58
AL,10/22/16,17,SurveyMonkey,36,52
AL,1/12/16,301,Strategy Research,32,68
AL,11/1/16,7,SurveyMonkey,36,54
AL,10/10/16,29,Ipsos,38.4,52.39
AL,10/20/16,19,YouGov,31.6,52.6
AL,10/21/16,18,SurveyMonkey,36,52
AL,9/30/16,39,Google Consumer Surveys,19.45,56.59
AL,10/31/16,8,SurveyMonkey,36,52
AL,10/17/16,22,Ipsos,38.93,51.28
AL,10/30/16,9,SurveyMonkey,35,53
AL,10/30/16,9,Ipsos,38.06,54.15
AL,10/6/16,33,Google Consumer Surveys,22.51,53.8
AL,10/22/16,17,Google Consumer Surveys,22.36,56.83
AL,8/15/16,85,Ipsos,42.06,48.14
AL,9/29/16,40,Ipsos,36.51,56.76
AL,8/20/16,80,Google Consumer Surveys,17.97,56.78
AL,11/2/16,6,SurveyMonkey,36,54
AL,8/29/16,71,Ipsos,42.33,50.6
AL,9/10/16,59,Google Consumer Surveys,19.02,56.78
AL,9/22/16,47,Ipsos,37.02,55.52
AL,10/24/16,15,SurveyMonkey,36,53
AL,9/23/16,46,Google Consumer Surveys,29.18,48.39
AL,7/19/16,112,Strategy Research,33,57
AL,8/27/16,73,Google Consumer Surveys,17.11,56.17
AL,9/5/16,64,Ipsos,40.11,52.94
AL,10/12/16,27,Google Consumer Surveys,19.61,54.78
AL,10/27/16,12,SurveyMonkey,36,54
AL,11/4/16,4,SurveyMonkey,36,55
AL,10/17/16,22,Google Consumer Surveys,23.68,53.37
AL,10/29/16,10,SurveyMonkey,37,52
AL,9/12/16,57,Ipsos,39.35,53.12
AL,10/27/16,12,Ipsos,41.23,53.27
AR,10/21/16,18,SurveyMonkey,33,54
AR,10/27/16,12,Ipsos,38.14,53.35
AR,10/6/16,33,Google Consumer Surveys,34.69,40.24
AR,8/29/16,71,Ipsos,41.42,49.8
AR,10/22/16,17,SurveyMonkey,34,53
AR,8/22/16,78,Ipsos,42.2,47.62
AR,10/3/16,36,Ipsos,35.6,52.44
AR,9/10/16,59,Google Consumer Surveys,34.5,35.13
AR,9/16/16,53,Hendrix College,34,55
AR,8/20/16,80,SurveyMonkey,37,46
AR,8/8/16,92,Ipsos,39.83,44.73
AR,9/26/16,43,Ipsos,37.87,53.01
AR,9/5/16,64,Ipsos,41.34,51.28
AR,10/17/16,22,Google Consumer Surveys,27.32,44.58
AR,10/29/16,10,SurveyMonkey,38,52
AR,10/20/16,19,YouGov,30.5,48
AR,9/19/16,50,Ipsos,41.3,49.92
AR,10/17/16,22,Ipsos,34.03,53.17
AR,11/2/16,6,SurveyMonkey,34,55
AR,8/20/16,80,Google Consumer Surveys,27.6,39.6
AR,10/12/16,27,Google Consumer Surveys,34.43,38.13
AR,9/23/16,46,Google Consumer Surveys,28.09,45.52
AR,10/10/16,29,Ipsos,34.43,52.7
AR,9/11/16,58,Emerson College,29,57
AR,9/17/16,52,Google Consumer Surveys,36.41,35.42
AR,10/28/16,11,Google Consumer Surveys,31.49,36.09
AR,10/30/16,9,SurveyMonkey,36,53
AR,8/15/16,85,Ipsos,39.49,47.65
AR,8/27/16,73,Google Consumer Surveys,31.74,42.42
AR,10/27/16,12,SurveyMonkey,37,53
AR,11/1/16,7,SurveyMonkey,34,55
AR,10/24/16,15,SurveyMonkey,36,52
AR,11/4/16,4,Google Consumer Surveys,30.81,46.85
AR,8/13/16,87,Google Consumer Surveys,23.56,40.99
AR,10/28/16,11,SurveyMonkey,39,52
AR,10/22/16,17,Google Consumer Surveys,36.72,38.33
AR,9/3/16,66,Google Consumer Surveys,33.78,40.6
AR,10/21/16,18,University of Arkansas,31.3,51.1
AR,11/4/16,4,SurveyMonkey,32,56
AR,9/12/16,57,Ipsos,41.08,49.15
AR,10/21/16,18,Hendrix College,32.5,56
AR,10/31/16,8,SurveyMonkey,34,55
AR,9/30/16,39,Google Consumer Surveys,29.66,45.44
AR,10/23/16,16,Ipsos,37.33,52.4
AR,6/21/16,140,Hendrix College,36,47
AZ,10/11/16,28,Data Orbital,43,42
AZ,10/29/16,10,Emerson College,43,47
AZ,10/28/16,11,Google Consumer Surveys,37.89,32.88
AZ,11/4/16,4,Google Consumer Surveys,40.95,35.97
AZ,8/27/16,73,Google Consumer Surveys,37.2,32.28
AZ,10/29/16,10,SurveyMonkey,42,43
AZ,6/20/16,141,MBQF,46.5,42.2
AZ,9/7/16,62,Marist College,38,40
AZ,11/4/16,4,Gravis Marketing,43,45
AZ,8/11/16,89,Ipsos,39,47.03
AZ,10/28/16,11,SurveyMonkey,43,44
AZ,10/24/16,15,SurveyMonkey,42,43
AZ,8/20/16,80,Google Consumer Surveys,35.06,26.9
AZ,11/5/16,3,Data Orbital,44,47
AZ,5/14/16,178,Public Policy Polling,38,40
AZ,11/1/16,7,Data Orbital,39,47
AZ,11/1/16,7,SurveyMonkey,44,43
AZ,9/8/16,61,Ipsos,39.48,46.11
AZ,8/13/16,87,Google Consumer Surveys,37.14,32.91
AZ,10/12/16,27,Arizona State University,43.4,37.8
AZ,10/20/16,19,Ipsos,43.32,42.1
AZ,8/3/16,97,YouGov,42,44
AZ,10/21/16,18,SurveyMonkey,41,42
AZ,8/24/16,76,Arizona State University,39.9,36.8
AZ,9/30/16,39,Google Consumer Surveys,38.76,32.92
AZ,10/12/16,27,Google Consumer Surveys,40.02,30.69
AZ,12/6/15,338,Strategies 360,42,44
AZ,8/20/16,80,CNN/Opinion Research Corp.,38,45
AZ,10/10/16,29,Ipsos,38.92,44.56
AZ,10/31/16,8,Marist College,40,45
AZ,9/3/16,66,Google Consumer Surveys,34.87,34.6
AZ,3/9/16,244,Merrill Poll,38,38
AZ,9/23/16,46,Google Consumer Surveys,37.8,33.82
AZ,9/17/16,52,Google Consumer Surveys,37.46,32.1
AZ,10/20/16,19,YouGov,37.8,46.3
AZ,10/12/16,27,SurveyMonkey,41,44
AZ,10/27/16,12,Ipsos,42.92,44.58
AZ,9/29/16,40,Ipsos,42.22,49.06
AZ,9/22/16,47,Ipsos,44.13,45.74
AZ,9/1/16,68,Ipsos,39.57,45.89
AZ,10/29/16,10,Data Orbital,41,45
AZ,8/27/16,73,Gravis Marketing,40,44
AZ,11/4/16,4,SurveyMonkey,45,42
AZ,4/7/16,215,Behavior Research Center (Rocky Mountain),42,35
AZ,9/21/16,48,Data Orbital,38,40
AZ,10/31/16,8,SurveyMonkey,44,43
AZ,8/25/16,75,Ipsos,41.38,44.56
AZ,10/29/16,10,CNN/Opinion Research Corp.,44,49
AZ,8/18/16,82,Ipsos,43.18,46.01
AZ,9/29/16,40,MBQF,42,42
AZ,10/30/16,9,The Times-Picayune/Lucid,41,42
AZ,8/20/16,80,SurveyMonkey,37,39
AZ,8/1/16,99,MBQF,45,42
AZ,10/27/16,12,SurveyMonkey,43,43
AZ,10/22/16,17,Monmouth University,45,46
AZ,9/15/16,54,Ipsos,41.65,47.86
AZ,7/29/16,102,Integrated Web Strategy,41.3,48.8
AZ,10/22/16,17,SurveyMonkey,42,43
AZ,10/17/16,22,Data Orbital,41,41
AZ,10/17/16,22,Ipsos,42.59,44.59
AZ,10/30/16,9,SurveyMonkey,43,43
AZ,10/23/16,16,Saguaro Strategies,48,46
AZ,10/22/16,17,Google Consumer Surveys,39.71,35.6
AZ,10/3/16,36,Emerson College,44,42
AZ,10/27/16,12,YouGov,42,44
AZ,10/6/16,33,Google Consumer Surveys,38.24,35.87
AZ,10/30/16,9,Saguaro Strategies,45,44
AZ,9/10/16,59,Google Consumer Surveys,33.95,34.56
AZ,6/15/16,146,Greenberg Quinlan Rosner (Democracy Corps),39,45
AZ,10/14/16,25,HighGround,38.5,36.5
AZ,6/22/16,139,Public Policy Polling,40,44
AZ,11/5/16,3,Insights West,45,47
AZ,10/26/16,13,Data Orbital,40,42
AZ,11/2/16,6,SurveyMonkey,45,43
AZ,9/13/16,56,Insights West,33,37
AZ,10/30/16,9,Ipsos,42.38,47.1
AZ,10/17/16,22,Google Consumer Surveys,41.78,31.4
AZ,8/26/16,74,MBQF,40,39
AZ,8/27/16,73,Public Policy Polling,43,46
CA,10/24/16,15,SurveyMonkey,54,31
CA,10/17/16,22,Ipsos,63.82,25.62
CA,9/30/16,39,Google Consumer Surveys,46.59,28.33
CA,11/4/16,4,SurveyMonkey,56,31
CA,10/24/16,15,Ipsos,65.14,26.16
CA,10/6/16,33,Google Consumer Surveys,47.55,27.38
CA,10/28/16,11,YouGov,53,33
CA,8/22/16,78,Ipsos,60.74,25.03
CA,8/27/16,73,Google Consumer Surveys,43.75,26.11
CA,11/1/16,7,SurveyMonkey,56,30
CA,10/10/16,29,Ipsos,65.89,22.37
CA,11/5/16,3,Insights West,58,35
CA,8/26/16,74,Tulchin Research,49,35
CA,5/20/16,172,SurveyUSA,52,38
CA,10/22/16,17,Google Consumer Surveys,47.86,23.83
CA,9/3/16,66,Google Consumer Surveys,43.85,27.51
CA,10/12/16,27,Google Consumer Surveys,48.27,26.89
CA,10/31/16,8,Ipsos,60.4,30.34
CA,10/26/16,13,Greenberg Quinlan Rosner/American Viewpoint,54,30
CA,5/25/16,167,Greenberg Quinlan Rosner/American Viewpoint,54,33
CA,10/20/16,19,YouGov,51.8,30.4
CA,10/3/16,36,Ipsos,61.26,27.86
CA,9/13/16,56,Insights West,57,30
CA,5/30/16,162,Marist College,55,31
CA,10/28/16,11,SurveyMonkey,55,30
CA,9/27/16,42,SurveyUSA,59,33
CA,5/28/16,164,Field Research Corporation (Field Poll),53,34
CA,9/17/16,52,Google Consumer Surveys,46.39,28.05
CA,10/17/16,22,Google Consumer Surveys,47.95,26.85
CA,9/12/16,57,Ipsos,62.5,24.22
CA,8/20/16,80,Google Consumer Surveys,40.62,27.65
CA,5/10/16,182,YouGov,45,33
CA,9/19/16,50,Ipsos,60.01,28.38
CA,10/28/16,11,Google Consumer Surveys,46.27,26.85
CA,10/27/16,12,SurveyMonkey,55,30
CA,10/30/16,9,SurveyMonkey,56,29
CA,8/29/16,71,Ipsos,62.67,24.2
CA,11/2/16,6,SurveyMonkey,56,30
CA,8/13/16,87,Google Consumer Surveys,43.63,25.43
CA,11/3/16,5,Ipsos,58.85,31.74
CA,9/4/16,65,SurveyMonkey,49,29
CA,8/20/16,80,SurveyMonkey,49,28
CA,10/9/16,30,YouGov,54,30
CA,10/21/16,18,SurveyMonkey,54,31
CA,9/26/16,43,Ipsos,63.67,23.74
CA,6/20/16,141,Field Research Corporation (Field Poll),50,26
CA,6/9/16,152,SurveyMonkey,54,28
CA,7/14/16,117,Public Policy Institute of California,46,30
CA,9/13/16,56,Public Policy Institute of California,47,31
CA,4/1/16,221,SurveyUSA,60,26
CA,10/18/16,21,Public Policy Institute of California,54,28
CA,9/23/16,46,Google Consumer Surveys,45.47,30.35
CA,3/19/16,234,Greenberg Quinlan Rosner/American Viewpoint,57,30
CA,10/31/16,8,SurveyMonkey,56,29
CA,8/26/16,74,Tulchin Research,52,31
CA,9/9/16,60,SurveyUSA,57,32
CA,5/17/16,175,Public Policy Institute of California,49,39
CA,9/5/16,64,Ipsos,59.58,32.19
CA,11/4/16,4,Google Consumer Surveys,47.88,26.4
CA,10/29/16,10,SurveyUSA,56,35
CA,6/1/16,160,YouGov,48,33
CA,10/30/16,9,Ipsos,59.58,30.7
CA,3/29/16,224,Field Research Corporation (Field Poll),59,31
CA,10/14/16,25,SurveyUSA,56,30
CA,9/10/16,59,YouGov,50,33
CA,4/28/16,194,SurveyUSA,56,34
CA,10/22/16,17,SurveyMonkey,54,31
CA,10/10/16,29,Sacramento State,61,25
CA,9/10/16,59,Google Consumer Surveys,43.37,26.36
CA,10/29/16,10,SurveyMonkey,55,30
CA,8/15/16,85,Ipsos,63.14,26.06
CO,10/6/16,33,Ipsos,46.61,40.89
CO,10/12/16,27,Magellan Strategies,40,35
CO,8/8/16,92,Ipsos,42.39,38.74
CO,10/29/16,10,Emerson College,44,41
CO,2/27/16,255,"Keating Research, Inc.",49,39
CO,9/16/16,53,Franklin & Marshall College,41,34
CO,10/13/16,26,Ipsos,45.01,41.24
CO,10/27/16,12,Ipsos,47.59,42.23
CO,10/29/16,10,SurveyMonkey,43,40
CO,9/22/16,47,Ipsos,43.25,45.22
CO,10/17/16,22,Google Consumer Surveys,44.08,25.6
CO,10/20/16,19,YouGov,42.1,36.9
CO,9/29/16,40,Ipsos,44.77,44.86
CO,10/30/16,9,SurveyMonkey,44,40
CO,9/27/16,42,Public Policy Polling,46,40
CO,10/28/16,11,SurveyMonkey,43,39
CO,8/20/16,80,SurveyMonkey,37,37
CO,10/27/16,12,Ipsos,49.01,41.11
CO,10/3/16,36,Gravis Marketing,40,40
CO,9/11/16,58,Emerson College,38,42
CO,9/17/16,52,Google Consumer Surveys,40.6,28.49
CO,10/30/16,9,Remington,45,44
CO,8/27/16,73,Google Consumer Surveys,38.94,23.91
CO,8/13/16,87,Google Consumer Surveys,36.77,27.97
CO,9/30/16,39,Google Consumer Surveys,38.58,28.19
CO,8/15/16,85,Ipsos,43.04,39.74
CO,11/2/16,6,"Keating Research, Inc.",43,38
CO,8/30/16,70,Magellan Strategies,41,36
CO,7/7/16,124,Gravis Marketing,39,38
CO,9/22/16,47,YouGov,40,39
CO,11/3/16,5,Public Policy Polling,48,43
CO,9/22/16,47,Gravis Marketing,37,41
CO,11/4/16,4,SurveyMonkey,43,40
CO,10/6/16,33,Google Consumer Surveys,41.46,25.52
CO,6/22/16,139,YouGov,40,39
CO,8/7/16,93,Marist College,41,29
CO,10/27/16,12,YouGov,42,39
CO,9/3/16,66,Google Consumer Surveys,37.36,28.53
CO,9/23/16,46,Google Consumer Surveys,36.67,31.48
CO,10/30/16,9,University of Denver,39,39
CO,10/20/16,19,University of Colorado,44,34
CO,11/4/16,4,Gravis Marketing,44,43
CO,10/24/16,15,SurveyMonkey,45,38
CO,7/10/16,121,Fox News/Anderson Robbins Research/Shaw & Company Research,37,28
CO,9/1/16,68,Ipsos,40.5,43.29
CO,7/8/16,123,Harper Polling,45,38
CO,10/30/16,9,Ipsos,47.71,42.33
CO,10/12/16,27,SurveyMonkey,44,37
CO,11/1/16,7,Magellan Strategies,44.1,37.6
CO,10/30/16,9,The Times-Picayune/Lucid,44,37
CO,9/17/16,52,Quinnipiac University,44,42
CO,10/22/16,17,Google Consumer Surveys,40.48,26.21
CO,11/1/16,7,SurveyMonkey,43,40
CO,10/22/16,17,SurveyMonkey,45,38
CO,11/1/16,7,Remington,42,41
CO,10/12/16,27,Google Consumer Surveys,42.95,23.66
CO,9/15/16,54,Ipsos,42.05,43.82
CO,10/13/16,26,Quinnipiac University,45,37
CO,10/27/16,12,SurveyMonkey,44,39
CO,7/10/16,121,Monmouth University,48,35
CO,9/8/16,61,Ipsos,40.11,43.13
CO,8/12/16,88,Quinnipiac University,41,33
CO,9/28/16,41,"Keating Research, Inc.",44,33
CO,11/13/15,361,Quinnipiac University,37,48
CO,11/1/16,7,Gravis Marketing,40,40
CO,9/22/16,47,CNN/Opinion Research Corp.,41,42
CO,10/28/16,11,Google Consumer Surveys,42.67,27.9
CO,11/1/16,7,Trafalgar Group,44.77,44.33
CO,10/21/16,18,Remington,45,43
CO,10/12/16,27,Gravis Marketing,44,39
CO,11/4/16,4,Google Consumer Surveys,47.11,29.95
CO,9/30/16,39,Monmouth University,49,38
CO,10/21/16,18,SurveyMonkey,44,38
CO,10/20/16,19,Ipsos,45.51,43.35
CO,9/10/16,59,Google Consumer Surveys,36.23,28.93
CO,11/2/16,6,SurveyMonkey,43,39
CO,8/22/16,78,Ipsos,44.57,38.55
CO,7/8/16,123,Marist College,39,33
CO,8/20/16,80,Google Consumer Surveys,40.49,23.95
CO,10/31/16,8,SurveyMonkey,44,40
CT,9/10/16,59,Google Consumer Surveys,41.81,26.44
CT,8/20/16,80,Google Consumer Surveys,43.88,26.51
CT,10/22/16,17,Google Consumer Surveys,43.34,31.95
CT,9/3/16,66,Google Consumer Surveys,38.56,26.41
CT,10/30/16,9,SurveyMonkey,52,38
CT,9/30/16,39,Google Consumer Surveys,44.46,26.58
CT,10/29/16,10,SurveyMonkey,51,38
CT,9/5/16,64,Ipsos,47.21,37.48
CT,10/24/16,15,SurveyMonkey,51,38
CT,11/1/16,7,SurveyMonkey,51,37
CT,8/29/16,71,Ipsos,45.75,40.14
CT,9/17/16,52,Google Consumer Surveys,39,31.8
CT,10/30/16,9,Ipsos,49.76,39.7
CT,10/22/16,17,SurveyMonkey,51,36
CT,8/15/16,85,Ipsos,49.91,37.43
CT,11/2/16,6,SurveyMonkey,51,37
CT,10/17/16,22,Google Consumer Surveys,40.38,33.37
CT,8/27/16,73,Google Consumer Surveys,40.68,25.54
CT,10/21/16,18,SurveyMonkey,50,36
CT,9/3/16,66,Emerson College,50,35
CT,10/10/16,29,Ipsos,52.56,34.83
CT,10/6/16,33,Google Consumer Surveys,44.26,26.17
CT,8/20/16,80,SurveyMonkey,44,33
CT,8/22/16,78,Ipsos,47.04,39.13
CT,10/27/16,12,Ipsos,48.11,42.23
CT,9/23/16,46,Google Consumer Surveys,37.53,31.5
CT,9/29/16,40,Ipsos,53.48,35.23
CT,11/4/16,4,SurveyMonkey,52,36
CT,10/27/16,12,Ipsos,48.95,41.48
CT,10/3/16,36,Ipsos,53,36.07
CT,10/28/16,11,SurveyMonkey,51,39
CT,9/12/16,57,Ipsos,47.33,37.36
CT,9/19/16,50,Ipsos,52.01,34.09
CT,8/13/16,87,Google Consumer Surveys,41.81,26.61
CT,8/8/16,92,Ipsos,49.73,36.71
CT,10/28/16,11,Google Consumer Surveys,40.48,31.84
CT,10/17/16,22,Ipsos,51.05,36.25
CT,4/10/16,212,Emerson College,48,40
CT,6/3/16,158,Quinnipiac University,41,36
CT,10/27/16,12,SurveyMonkey,51,39
CT,10/12/16,27,Google Consumer Surveys,48.96,27.69
CT,10/31/16,8,SurveyMonkey,52,38
CT,11/4/16,4,Google Consumer Surveys,38.62,29.29
CT,10/20/16,19,YouGov,46.6,35.8
DC,9/23/16,46,Google Consumer Surveys,66.53,15.3
DC,10/27/16,12,SurveyMonkey,87,4
DC,9/17/16,52,Google Consumer Surveys,43.22,28.46
DC,8/13/16,87,Google Consumer Surveys,44.16,24.78
DC,10/24/16,15,SurveyMonkey,87,5
DC,10/28/16,11,Google Consumer Surveys,47.91,19.37
DC,10/31/16,8,SurveyMonkey,85,5
DC,10/12/16,27,Google Consumer Surveys,58.06,21.25
DC,10/6/16,33,Google Consumer Surveys,57.9,15.1
DC,11/2/16,6,SurveyMonkey,88,7
DC,9/3/16,66,Google Consumer Surveys,47.85,21.78
DC,9/30/16,39,Google Consumer Surveys,62.21,9.8
DC,9/10/16,59,Google Consumer Surveys,38.8,32.39
DC,10/22/16,17,SurveyMonkey,87,5
DC,10/17/16,22,Google Consumer Surveys,65.81,7.06
DC,8/20/16,80,Google Consumer Surveys,54.01,22.16
DC,10/28/16,11,SurveyMonkey,88,4
DC,10/22/16,17,Google Consumer Surveys,61.66,11.14
DC,10/30/16,9,SurveyMonkey,87,5
DC,8/27/16,73,Google Consumer Surveys,44.27,25.62
DC,11/4/16,4,Google Consumer Surveys,53.62,10.62
DC,11/1/16,7,SurveyMonkey,87,6
DC,10/21/16,18,SurveyMonkey,88,5
DC,10/29/16,10,SurveyMonkey,88,4
DC,10/20/16,19,YouGov,79.8,6.8
DC,11/4/16,4,SurveyMonkey,85,7
DE,10/10/16,29,Ipsos,47.83,33.89
DE,10/28/16,11,SurveyMonkey,50,38
DE,9/10/16,59,Google Consumer Surveys,33.9,28.33
DE,10/22/16,17,Google Consumer Surveys,34.21,33.26
DE,9/5/16,64,Ipsos,43.33,28.07
DE,8/20/16,80,Google Consumer Surveys,35.71,23.01
DE,11/4/16,4,SurveyMonkey,50,39
DE,10/28/16,11,Google Consumer Surveys,38.21,34.88
DE,9/22/16,47,University of Delaware,51,30
DE,9/30/16,39,Google Consumer Surveys,47.37,18.2
DE,10/22/16,17,SurveyMonkey,53,34
DE,10/20/16,19,YouGov,50.7,31.6
DE,10/21/16,18,SurveyMonkey,52,34
DE,9/3/16,66,Google Consumer Surveys,37.37,30.62
DE,8/27/16,73,Google Consumer Surveys,34.1,31.69
DE,9/26/16,43,Ipsos,46.26,35.62
DE,9/17/16,52,Google Consumer Surveys,41.23,30.04
DE,10/17/16,22,Ipsos,47.87,36.17
DE,9/19/16,50,Ipsos,43.16,35.28
DE,10/24/16,15,SurveyMonkey,52,36
DE,10/31/16,8,SurveyMonkey,50,36
DE,10/12/16,27,Google Consumer Surveys,41.18,28.45
DE,10/17/16,22,Google Consumer Surveys,37.21,28.18
DE,8/20/16,80,SurveyMonkey,43,33
DE,8/8/16,92,Ipsos,44.1,22.13
DE,11/4/16,4,Google Consumer Surveys,41.91,30.38
DE,10/30/16,9,Ipsos,52.03,36.42
DE,8/13/16,87,Google Consumer Surveys,34.47,32.29
DE,10/27/16,12,SurveyMonkey,51,38
DE,10/6/16,33,Google Consumer Surveys,40.37,28.34
DE,10/29/16,10,SurveyMonkey,50,38
DE,11/1/16,7,SurveyMonkey,51,36
DE,11/2/16,6,SurveyMonkey,49,39
DE,10/27/16,12,Ipsos,44.71,33.84
DE,9/23/16,46,Google Consumer Surveys,25.92,23.36
DE,9/12/16,57,Ipsos,40.04,32.95
DE,8/29/16,71,Ipsos,45.64,23.53
DE,7/22/16,109,Fairleigh Dickinson University (PublicMind),42,32
DE,10/30/16,9,SurveyMonkey,50,36
DE,10/3/16,36,Ipsos,46.96,39.29
FL,10/21/16,18,Rasmussen Reports/Pulse Opinion Research,45,44
FL,10/7/16,32,Florida Atlantic University,48.6,42.9
FL,6/16/16,145,Evolving Strategies,47,34
FL,10/24/16,15,SurveyMonkey,47,44
FL,9/23/16,46,Google Consumer Surveys,34.29,41.33
FL,10/3/16,36,Ipsos,48.55,43.74
FL,10/21/16,18,SurveyMonkey,47,44
FL,6/3/16,158,Public Policy Polling,40,41
FL,6/15/16,146,Greenberg Quinlan Rosner (Democracy Corps),49,38
FL,10/4/16,35,Gravis Marketing,47,45
FL,10/22/16,17,Google Consumer Surveys,36.07,39.16
FL,8/10/16,90,Opinion Savvy/InsiderAdvantage,45.2,44.3
FL,10/26/16,13,Siena College,42,46
FL,3/15/16,238,Saint Leo University,51.7,34.2
FL,9/17/16,52,Google Consumer Surveys,30.25,43.12
FL,6/13/16,148,Quinnipiac University,42,36
FL,10/24/16,15,Ipsos,48.51,44.61
FL,8/27/16,73,Google Consumer Surveys,30.85,39.89
FL,10/28/16,11,Rasmussen Reports/Pulse Opinion Research,43,48
FL,7/5/16,126,Quinnipiac University,36,41
FL,10/27/16,12,TargetSmart/William & Mary,48,40
FL,11/4/16,4,Quinnipiac University,46,45
FL,10/29/16,10,Quinnipiac University,46,45
FL,10/17/16,22,Cherry Communications,46,42
FL,8/20/16,80,Google Consumer Surveys,32.58,40.47
FL,10/17/16,22,Google Consumer Surveys,38.49,38.56
FL,10/25/16,14,Dixie Strategies,42.4,45.7
FL,10/30/16,9,Ipsos,46.68,47.07
FL,9/28/16,41,Opinion Savvy/InsiderAdvantage,46.6,46.3
FL,11/6/16,2,Trafalgar Group,46.13,49.72
FL,8/22/16,78,Ipsos,49.05,41.88
FL,8/13/16,87,Google Consumer Surveys,34.48,38.4
FL,11/1/16,7,SurveyMonkey,47,45
FL,11/1/16,7,Opinion Savvy/InsiderAdvantage,49.3,45
FL,10/22/16,17,Selzer & Company,43,45
FL,10/28/16,11,Google Consumer Surveys,36.5,44.1
FL,11/1/16,7,Gravis Marketing,46,45
FL,10/6/16,33,Google Consumer Surveys,36.85,37.09
FL,9/7/16,62,JMC Enterprises,42,46
FL,11/2/16,6,Rasmussen Reports/Pulse Opinion Research,45,46
FL,8/20/16,80,Florida Atlantic University,41,43
FL,10/31/16,8,Ipsos,47.88,46.89
FL,9/13/16,56,Saint Leo University,49.4,43.6
FL,11/1/16,7,Remington,45,48
FL,10/31/16,8,Gravis Marketing,49,46
FL,10/20/16,19,Opinion Savvy/InsiderAdvantage,49,45
FL,8/7/16,93,Marist College,41,36
FL,8/6/16,94,Public Policy Polling,46,43
FL,6/26/16,135,SurveyUSA,46,42
FL,9/28/16,41,"Mason-Dixon Polling & Research, Inc.",46,42
FL,1/16/16,297,Florida Atlantic University,44,47
FL,10/10/16,29,Ipsos,47.57,41.81
FL,10/19/16,20,Associated Industries of Florida,44,41
FL,10/25/16,14,Public Policy Polling,48,44
FL,11/5/16,3,Opinion Savvy/InsiderAdvantage,48.4,46.4
FL,10/29/16,10,Trafalgar Group,44.82,48.68
FL,10/13/16,26,Quinnipiac University,48,44
FL,10/3/16,36,Associated Industries of Florida,44,41
FL,10/21/16,18,Remington,46,46
FL,10/29/16,10,SurveyMonkey,47,44
FL,8/29/16,71,Ipsos,48.23,44.6
FL,10/24/16,15,Saint Leo University,50.4,36.95
FL,9/30/16,39,University of North Florida,41,38
FL,7/9/16,122,JMC Enterprises,42,47
FL,9/8/16,61,YouGov,44,42
FL,9/12/16,57,Ipsos,46.33,49.84
FL,10/25/16,14,Gravis Marketing,48,47
FL,10/27/16,12,SurveyMonkey,46,45
