end_date,days_left,pollster,sample_size,biden,trump
2020-11-02,1,SurveyMonkey,1556,36,62
2020-11-02,1,SurveyMonkey,2009,40,59
2020-11-02,1,SurveyMonkey,2321,44,55
2020-11-02,1,SurveyMonkey,2729,44,54
2020-11-02,1,SurveyMonkey,5643,58,40
2020-11-02,1,SurveyMonkey,909,40,58
2020-11-02,1,SurveyMonkey,1489,48,51
2020-11-02,1,SurveyMonkey,688,67,31
2020-11-02,1,SurveyMonkey,3962,50,48
2020-11-02,1,SurveyMonkey,8792,49,49
2020-11-02,1,SurveyMonkey,656,60,38
2020-11-02,1,SurveyMonkey,495,94,5
2020-11-02,1,SurveyMonkey,2031,60,38
2020-11-02,1,SurveyMonkey,2991,55,44
2020-11-02,1,SurveyMonkey,12370,62,36
2020-11-02,1,SurveyMonkey,4278,52,46
2020-11-02,1,SurveyMonkey,1309,38,61
2020-11-02,1,SurveyMonkey,1808,36,62
2020-11-02,1,SurveyMonkey,634,45,54
2020-11-01,2,InsiderAdvantage,500,46.1,48.1
2020-11-01,2,John Zogby Strategies/EMI Research Solutions,1008,49.65,43.75
2020-11-01,2,Landmark Communications,500,46,50.1
2020-11-01,2,Swayable,5174,51.8,46.1
2020-11-01,2,Research Co.,450,52.625,41
2020-11-01,2,Rasmussen (Pulse Opinion Research),800,47.5,48
2020-11-01,2,YouGov,1360,53,43
2020-11-01,2,aytm.com,517,45,43
2020-11-01,2,aytm.com,340,51,49
2020-11-01,2,aytm.com,380,52,48
2020-11-01,2,Redfield & Wilton Strategies,8765,53,41
2020-11-01,2,SurveyMonkey,24930,52,47
2020-11-01,2,Susquehanna,400,46,47
2020-11-01,2,Civiqs,789,51,47
2020-11-01,2,Civiqs,853,49,48
2020-11-01,2,Civiqs,1136,48,49
2020-11-01,2,Keating Research/OnSight Public Affairs/Melanson,502,53,41
2020-11-01,2,Léger,827,50,42
2020-11-01,2,Qriously,3505,52,41
2020-11-01,2,Marist,717,48,48
2020-11-01,2,Marist,772,51,46
2020-11-01,2,Change Research,1880,52,42
2020-11-01,2,Change Research,409,50,47
2020-11-01,2,Change Research,806,51,48
2020-11-01,2,Change Research,383,51,44
2020-11-01,2,Change Research,473,49,47
2020-11-01,2,Change Research,699,50,46
2020-11-01,2,Change Research,553,53,45
2020-11-01,2,Change Research,1084,47,47
2020-11-01,2,Monmouth U.,502,50.5,44.5
2020-11-01,2,TIPP,1080,49.15,45.5
2020-11-01,2,Rasmussen (Pulse Opinion Research),1500,48,47
2020-11-01,2,David Binder Research,800,62,31
2020-11-01,2,Quinnipiac,1516,50,39
2020-11-01,2,Quinnipiac,1440,47,43
2020-11-01,2,Quinnipiac,1657,47,42
2020-11-01,2,Ipsos,696,53,44
2020-11-01,2,Ipsos,673,51.5,45.5
2020-11-01,2,Ipsos,654,53,44
2020-11-01,2,Data for Progress,908,50,48
2020-11-01,2,Data for Progress,926,49,48
2020-11-01,2,Data for Progress,709,54,42
2020-11-01,2,Data for Progress,1195,50,47
2020-11-01,2,Data for Progress,690,54,43
2020-11-01,2,Data for Progress,1045,38,58
2020-11-01,2,Ipsos,670,50.5,46.5
2020-11-01,2,Ipsos,707,49.5,48
2020-11-01,2,Data for Progress,1417,52,45
2020-11-01,2,Data for Progress,1442,51,44
2020-11-01,2,Data for Progress,1202,51,48
2020-11-01,2,Data for Progress,1121,41,55
2020-11-01,2,Data for Progress,880,44,53
2020-11-01,2,Data for Progress,1036,50,48
2020-11-01,2,Data for Progress,562,41,55
2020-11-01,2,Data for Progress,1259,51,43
2020-11-01,2,Data for Progress,951,47,49
2020-11-01,2,Swayable,330,37.8,55
2020-11-01,2,Swayable,360,50.6,45.7
2020-11-01,2,Swayable,438,53.6,44.3
2020-11-01,2,Swayable,485,48,50.6
2020-11-01,2,Swayable,264,43,55.2
2020-11-01,2,Swayable,413,53.6,44.9
2020-11-01,2,Swayable,324,59.65,38.6
2020-11-01,2,Swayable,516,47.1,52.3
2020-11-01,2,Swayable,467,56.3,41.3
2020-11-01,2,Swayable,253,54.6,44.9
2020-11-01,2,Victory Research,1208,54.1,38.2
2020-11-01,2,Swayable,455,55.4,40.7
2020-11-01,2,Swayable,367,64.1,33.7
2020-11-01,2,Swayable,383,41.5,55
2020-11-01,2,Swayable,378,39.1,56.6
2020-11-01,2,Swayable,503,67,31.1
2020-11-01,2,Swayable,466,52.7,43.4
2020-11-01,2,Swayable,487,43.4,54.6
2020-11-01,2,Swayable,426,48.9,49.8
2020-11-01,2,Swayable,489,58.9,38.6
2020-11-01,2,SurveyMonkey,330,33,66
2020-11-01,2,SurveyMonkey,738,32,67
2020-11-01,2,SurveyMonkey,2475,54,44
2020-11-01,2,SurveyMonkey,3666,62,36
2020-11-01,2,SurveyMonkey,719,71,26
2020-11-01,2,SurveyMonkey,4145,57,41
2020-11-01,2,SurveyMonkey,1435,44,54
2020-11-01,2,SurveyMonkey,8250,47,51
2020-11-01,2,SurveyMonkey,2943,45,54
2020-11-01,2,SurveyMonkey,556,36,62
2020-11-01,2,SurveyMonkey,2266,43,55
2020-11-01,2,SurveyMonkey,517,62,36
2020-11-01,2,SurveyMonkey,5358,51,47
2020-11-01,2,SurveyMonkey,3252,59,39
2020-11-01,2,SurveyMonkey,1745,35,64
2020-11-01,2,SurveyMonkey,5305,47,50
2020-11-01,2,SurveyMonkey,5830,63,35
2020-11-01,2,SurveyMonkey,2211,49,49
2020-11-01,2,SurveyMonkey,1375,56,42
2020-11-01,2,SurveyMonkey,3480,59,39
2020-11-01,2,SurveyMonkey,910,53,46
2020-11-01,2,SurveyMonkey,1666,43,55
2020-11-01,2,SurveyMonkey,370,39,59
2020-11-01,2,SurveyMonkey,4867,51,47
2020-11-01,2,SurveyMonkey,957,46,52
2020-11-01,2,SurveyMonkey,1336,37,61
2020-11-01,2,SurveyMonkey,2644,44,54
2020-11-01,2,SurveyMonkey,2727,56,42
2020-11-01,2,SurveyMonkey,3976,52,46
2020-11-01,2,SurveyMonkey,1183,56,42
2020-11-01,2,SurveyMonkey,2918,65,32
2020-11-01,2,SurveyMonkey,3293,69,29
2020-11-01,2,SurveyMonkey,1388,35,62
2020-11-01,2,SurveyMonkey,1759,40,59
2020-11-01,2,SurveyMonkey,2159,44,54
2020-11-01,2,SurveyMonkey,2392,44,54
2020-11-01,2,SurveyMonkey,4848,58,40
2020-11-01,2,SurveyMonkey,824,40,58
2020-11-01,2,SurveyMonkey,1330,49,50
2020-11-01,2,SurveyMonkey,619,66,31
2020-11-01,2,SurveyMonkey,7796,48,50
2020-11-01,2,SurveyMonkey,588,61,38
2020-11-01,2,SurveyMonkey,457,94,5
2020-11-01,2,SurveyMonkey,1867,60,38
2020-11-01,2,SurveyMonkey,2677,55,43
2020-11-01,2,SurveyMonkey,10925,62,36
2020-11-01,2,SurveyMonkey,3807,52,47
2020-11-01,2,SurveyMonkey,1161,38,61
2020-11-01,2,SurveyMonkey,1608,36,62
2020-11-01,2,SurveyMonkey,537,46,53
2020-11-01,2,USC Dornsife,5382,53.66,42.519999999999996
2020-11-01,2,SurveyMonkey,3535,50,49
2020-10-31,3,InsiderAdvantage,450,43.6,48
2020-10-31,3,AtlasIntel,641,48.1,50.4
2020-10-31,3,AtlasIntel,812,47.5,49.5
2020-10-31,3,AtlasIntel,781,50.6,48.7
2020-10-31,3,InsiderAdvantage,500,48.099999999999994,47.7
2020-10-31,3,AtlasIntel,962,47.3,50
2020-10-31,3,AtlasIntel,679,46.1,48.3
2020-10-31,3,AtlasIntel,686,48.3,45.9
2020-10-31,3,Trafalgar Group,1033,45.8,48.3
2020-10-31,3,Trafalgar Group,1041,44.4,49.2
2020-10-31,3,Frederick Polls LLC,879,52,48
2020-10-31,3,Frederick Polls LLC,768,51,49
2020-10-31,3,Frederick Polls LLC,676,51,49
2020-10-31,3,aytm.com,700,48,39
2020-10-31,3,Trafalgar Group,1062,45.9,47.8
2020-10-31,3,Susquehanna,450,49,46
2020-10-31,3,Emerson College Polling Society,700,52,45.5
2020-10-31,3,Emerson College Polling Society,656,49.6,48.7
2020-10-31,3,Emerson College Polling Society,604,47.4,48.6
2020-10-31,3,Emerson College Polling Society,732,48,45.9
2020-10-31,3,Emerson College Polling Society,720,48.9,47.2
2020-10-31,3,Rasmussen (Pulse Opinion Research),800,48,47
2020-10-31,3,Emerson College Polling Society,611,54.3,42.9
2020-10-31,3,Emerson College Polling Society,310,57.7,38.7
2020-10-31,3,Emerson College Polling Society,301,49.8,46.8
2020-10-31,3,Emerson College Polling Society,855,47.4,47.1
2020-10-31,3,Emerson College Polling Society,749,48.8,49.4
2020-10-31,3,Emerson College Polling Society,763,48.7,49.7
2020-10-31,3,SurveyMonkey,34255,52,46
2020-10-31,3,Morning Consult,14663,52,44
2020-10-31,3,RMG Research,1200,51,44
2020-10-31,3,SurveyUSA,1265,52,44
2020-10-31,3,Swayable,3115,51.9,46.3
2020-10-31,3,Siena College/NYT Upshot,1451,47,44
2020-10-31,3,TIPP,1072,49.45,44.05
2020-10-31,3,Siena College/NYT Upshot,1862,49,43
2020-10-31,3,Morning Consult,1059,48.4,46.1
2020-10-31,3,Morning Consult,727,53.8,40.9
2020-10-31,3,Morning Consult,4451,51.5,45.4
2020-10-31,3,Morning Consult,1743,48.8,46.4
2020-10-31,3,Morning Consult,1147,42,53.4
2020-10-31,3,Morning Consult,1736,51.8,44.5
2020-10-31,3,Morning Consult,883,51.7,42.4
2020-10-31,3,Morning Consult,1109,42.9,52.3
2020-10-31,3,Morning Consult,1982,49.1,48.4
2020-10-31,3,Morning Consult,2179,46.6,49.2
2020-10-31,3,Morning Consult,2686,51.9,43.2
2020-10-31,3,Morning Consult,904,44.5,51.1
2020-10-31,3,Morning Consult,3267,48.1,48.1
2020-10-31,3,Morning Consult,1002,53.8,40.5
2020-10-31,3,USC Dornsife,5364,53.975,42.295
2020-10-31,3,SurveyMonkey,361,34,65
2020-10-31,3,SurveyMonkey,798,33,66
2020-10-31,3,SurveyMonkey,2554,54,44
2020-10-31,3,SurveyMonkey,3931,62,36
2020-10-31,3,SurveyMonkey,737,71,27
2020-10-31,3,SurveyMonkey,4390,56,42
2020-10-31,3,SurveyMonkey,1519,43,55
2020-10-31,3,SurveyMonkey,3030,43,55
2020-10-31,3,SurveyMonkey,597,36,62
2020-10-31,3,SurveyMonkey,2444,43,54
2020-10-31,3,SurveyMonkey,551,62,36
2020-10-31,3,SurveyMonkey,5750,51,47
2020-10-31,3,SurveyMonkey,3451,59,39
2020-10-31,3,SurveyMonkey,5468,48,50
2020-10-31,3,SurveyMonkey,5934,63,35
2020-10-31,3,SurveyMonkey,2247,49,49
2020-10-31,3,SurveyMonkey,1463,55,43
2020-10-31,3,SurveyMonkey,3697,60,38
2020-10-31,3,SurveyMonkey,982,52,47
2020-10-31,3,SurveyMonkey,1751,43,56
2020-10-31,3,SurveyMonkey,399,40,59
2020-10-31,3,SurveyMonkey,5274,52,47
2020-10-31,3,SurveyMonkey,1031,46,52
2020-10-31,3,SurveyMonkey,1369,37,61
2020-10-31,3,SurveyMonkey,2849,43,54
2020-10-31,3,SurveyMonkey,2935,55,43
2020-10-31,3,SurveyMonkey,4202,52,46
2020-10-31,3,SurveyMonkey,1242,56,42
2020-10-31,3,SurveyMonkey,3150,66,31
2020-10-31,3,SurveyMonkey,3462,68,29
2020-10-31,3,SurveyMonkey,1533,36,62
2020-10-31,3,SurveyMonkey,1976,40,59
2020-10-31,3,SurveyMonkey,2384,44,54
2020-10-31,3,SurveyMonkey,2545,44,54
2020-10-31,3,SurveyMonkey,5013,57,41
2020-10-31,3,SurveyMonkey,878,39,59
2020-10-31,3,SurveyMonkey,631,66,32
2020-10-31,3,SurveyMonkey,3748,50,48
2020-10-31,3,SurveyMonkey,7807,48,50
2020-10-31,3,SurveyMonkey,664,60,39
2020-10-31,3,SurveyMonkey,1928,61,38
2020-10-31,3,SurveyMonkey,2888,55,43
2020-10-31,3,SurveyMonkey,11324,62,36
2020-10-31,3,SurveyMonkey,3933,52,46
2020-10-31,3,SurveyMonkey,1253,39,60
2020-10-31,3,SurveyMonkey,1714,38,60
2020-10-31,3,SurveyMonkey,614,45,54
2020-10-31,3,SurveyMonkey,8692,47,51
2020-10-31,3,SurveyMonkey,1880,35,64
2020-10-31,3,SurveyMonkey,1484,49,50
2020-10-30,4,InsiderAdvantage,400,46.1,47.8
2020-10-30,4,Emerson College Polling Society,751,52.7,45.4
2020-10-30,4,Emerson College Polling Society,806,50.4,47.8
2020-10-30,4,AtlasIntel,672,48.5,49.6
2020-10-30,4,St. Pete Polls,2758,49.2,48.1
2020-10-30,4,Emerson College Polling Society,823,51.5,46.6
2020-10-30,4,Emerson College Polling Society,849,51.9,46.1
2020-10-30,4,AtlasIntel,660,46.5,50.4
2020-10-30,4,SurveyMonkey,41768,52,46
2020-10-30,4,RMG Research,1200,51,47
2020-10-30,4,Morning Consult,12000,52,44
2020-10-30,4,Data Orbital,550,45.9,45.3
2020-10-30,4,TIPP,1047,49.65,44.400000000000006
2020-10-30,4,Siena College/NYT Upshot,1252,49,43
2020-10-30,4,Siena College/NYT Upshot,1253,52,41
2020-10-30,4,Targoz Market Research,1138,53,44
2020-10-30,4,Targoz Market Research,993,53,39
2020-10-30,4,Targoz Market Research,998,56,42
2020-10-30,4,Targoz Market Research,1027,50.8,47.1
2020-10-30,4,SSRS,873,52,44
2020-10-30,4,SSRS,907,53,41
2020-10-30,4,SSRS,865,50,46
2020-10-30,4,SSRS,901,51,45
2020-10-30,4,MassINC Polling Group,929,62,28
2020-10-30,4,SurveyMonkey,483,93,6
2020-10-30,4,USC Dornsife,5343,53.91,42.215
2020-10-30,4,SurveyMonkey,378,33,65
2020-10-30,4,SurveyMonkey,805,32,66
2020-10-30,4,SurveyMonkey,2509,54,44
2020-10-30,4,SurveyMonkey,3899,62,36
2020-10-30,4,SurveyMonkey,734,70,28
2020-10-30,4,SurveyMonkey,4326,56,42
2020-10-30,4,SurveyMonkey,1511,43,55
2020-10-30,4,SurveyMonkey,3049,43,56
2020-10-30,4,SurveyMonkey,594,37,61
2020-10-30,4,SurveyMonkey,2443,44,54
2020-10-30,4,SurveyMonkey,547,63,35
2020-10-30,4,SurveyMonkey,5663,52,46
2020-10-30,4,SurveyMonkey,3468,60,39
2020-10-30,4,SurveyMonkey,1865,36,63
2020-10-30,4,SurveyMonkey,5321,48,50
2020-10-30,4,SurveyMonkey,5769,63,35
2020-10-30,4,SurveyMonkey,2047,50,48
2020-10-30,4,SurveyMonkey,1483,55,43
2020-10-30,4,SurveyMonkey,3688,60,38
2020-10-30,4,SurveyMonkey,973,52,47
2020-10-30,4,SurveyMonkey,1722,42,56
2020-10-30,4,SurveyMonkey,398,38,60
2020-10-30,4,SurveyMonkey,5280,52,47
2020-10-30,4,SurveyMonkey,999,46,52
2020-10-30,4,SurveyMonkey,1346,37,62
2020-10-30,4,SurveyMonkey,2835,43,55
2020-10-30,4,SurveyMonkey,2919,55,42
2020-10-30,4,SurveyMonkey,4216,52,46
2020-10-30,4,SurveyMonkey,1248,55,43
2020-10-30,4,SurveyMonkey,3154,66,31
2020-10-30,4,SurveyMonkey,3432,68,29
2020-10-30,4,SurveyMonkey,1526,36,62
2020-10-30,4,SurveyMonkey,1982,40,59
2020-10-30,4,SurveyMonkey,2603,44,54
2020-10-30,4,SurveyMonkey,2536,44,54
2020-10-30,4,SurveyMonkey,4921,58,40
2020-10-30,4,SurveyMonkey,882,38,60
2020-10-30,4,SurveyMonkey,1490,49,50
2020-10-30,4,SurveyMonkey,646,65,32
2020-10-30,4,SurveyMonkey,7604,48,50
2020-10-30,4,SurveyMonkey,668,60,39
2020-10-30,4,SurveyMonkey,501,93,6
2020-10-30,4,SurveyMonkey,1907,61,38
2020-10-30,4,SurveyMonkey,2896,56,43
2020-10-30,4,SurveyMonkey,10929,62,36
2020-10-30,4,SurveyMonkey,3824,52,46
2020-10-30,4,SurveyMonkey,1246,38,60
2020-10-30,4,SurveyMonkey,1752,38,60
2020-10-30,4,SurveyMonkey,638,45,53
2020-10-30,4,SurveyMonkey,8616,47,51
2020-10-30,4,SurveyMonkey,3736,50,48
2020-10-29,5,Mitchell,817,52.1,45
2020-10-29,5,Rasmussen (Pulse Opinion Research),800,46,48.5
2020-10-29,5,Trafalgar Group,1024,49.4,47.1
2020-10-29,5,AtlasIntel,786,48.6,48.5
2020-10-29,5,Remington,1010,45,50
2020-10-29,5,Data for Progress,1403,54,44
2020-10-29,5,Rasmussen (Pulse Opinion Research),1500,49,46
2020-10-29,5,RMG Research,800,51,44
2020-10-29,5,Beacon Research/Shaw & Company,1246,52,44
2020-10-29,5,SurveyMonkey,42858,52,46
2020-10-29,5,Gravis Marketing,1281,50,44
2020-10-29,5,Trafalgar Group,1082,47,49
2020-10-29,5,Morning Consult,12000,52,43
2020-10-29,5,HarrisX,1148,50,47
2020-10-29,5,HarrisX,903,49,48
2020-10-29,5,HarrisX,901,51,46
2020-10-29,5,Opinium,1252,55,41
2020-10-29,5,Selzer,814,41,48
2020-10-29,5,Redfield & Wilton Strategies,889,50,46
2020-10-29,5,Redfield & Wilton Strategies,1212,54,41
2020-10-29,5,Redfield & Wilton Strategies,1489,49,47
2020-10-29,5,Redfield & Wilton Strategies,2125,50,45
2020-10-29,5,Redfield & Wilton Strategies,800,53,41
2020-10-29,5,TIPP,959,50.7,44.599999999999994
2020-10-29,5,ABC/Washington Post,824,48,50
2020-10-29,5,ABC/Washington Post,810,51,44
2020-10-29,5,Research & Polling,1180,54,42
2020-10-29,5,Roanoke College,802,53,42
2020-10-29,5,USC Dornsife,5330,53.885000000000005,42.335
2020-10-29,5,SurveyMonkey,394,33,66
2020-10-29,5,SurveyMonkey,791,32,67
2020-10-29,5,SurveyMonkey,2456,53,44
2020-10-29,5,SurveyMonkey,3911,62,35
2020-10-29,5,SurveyMonkey,749,69,29
2020-10-29,5,SurveyMonkey,4330,56,42
2020-10-29,5,SurveyMonkey,1517,44,54
2020-10-29,5,SurveyMonkey,8648,47,51
2020-10-29,5,SurveyMonkey,3052,43,56
2020-10-29,5,SurveyMonkey,609,38,61
2020-10-29,5,SurveyMonkey,2501,44,54
2020-10-29,5,SurveyMonkey,569,63,35
2020-10-29,5,SurveyMonkey,5786,52,46
2020-10-29,5,SurveyMonkey,3425,59,39
2020-10-29,5,SurveyMonkey,1866,35,64
2020-10-29,5,SurveyMonkey,5092,47,51
2020-10-29,5,SurveyMonkey,5531,62,35
2020-10-29,5,SurveyMonkey,2072,49,49
2020-10-29,5,SurveyMonkey,1548,56,43
2020-10-29,5,SurveyMonkey,3743,60,38
2020-10-29,5,SurveyMonkey,986,53,46
2020-10-29,5,SurveyMonkey,1678,42,56
2020-10-29,5,SurveyMonkey,399,38,60
2020-10-29,5,SurveyMonkey,5356,51,47
2020-10-29,5,SurveyMonkey,980,46,52
2020-10-29,5,SurveyMonkey,1342,37,61
2020-10-29,5,SurveyMonkey,2770,44,54
2020-10-29,5,SurveyMonkey,3011,55,42
2020-10-29,5,SurveyMonkey,4244,52,46
2020-10-29,5,SurveyMonkey,1215,55,43
2020-10-29,5,SurveyMonkey,3185,66,31
2020-10-29,5,SurveyMonkey,3445,68,29
2020-10-29,5,SurveyMonkey,1512,36,61
2020-10-29,5,SurveyMonkey,2020,40,59
2020-10-29,5,SurveyMonkey,2569,43,55
2020-10-29,5,SurveyMonkey,4782,57,41
2020-10-29,5,SurveyMonkey,911,38,60
2020-10-29,5,SurveyMonkey,1500,49,50
2020-10-29,5,SurveyMonkey,649,65,32
2020-10-29,5,SurveyMonkey,3755,50,48
2020-10-29,5,SurveyMonkey,696,60,39
2020-10-29,5,SurveyMonkey,490,93,6
2020-10-29,5,SurveyMonkey,1971,60,39
2020-10-29,5,SurveyMonkey,11171,62,36
2020-10-29,5,SurveyMonkey,3463,52,46
2020-10-29,5,SurveyMonkey,1288,39,60
2020-10-29,5,SurveyMonkey,1786,38,60
2020-10-29,5,SurveyMonkey,663,43,55
2020-10-29,5,SurveyMonkey,2570,44,54
2020-10-29,5,SurveyMonkey,7726,48,50
2020-10-29,5,SurveyMonkey,2974,55,43
2020-10-28,6,Landmark Communications,750,47,48
2020-10-28,6,Gravis Marketing,613,47,49
2020-10-28,6,RMG Research,800,46,50
2020-10-28,6,Gravis Marketing,688,50,44
2020-10-28,6,Harris Poll,1972,54,46
2020-10-28,6,Cardinal Point Analytics (CardinalGPS),750,45.9,48.05
2020-10-28,6,East Carolina University,1103,50.32,47.6
2020-10-28,6,Gravis Marketing,670,45,50
2020-10-28,6,Redfield & Wilton Strategies,1587,50,46
2020-10-28,6,Swayable,2386,52.8,45.6
2020-10-28,6,Wick,1000,47.18333333333334,49.233333333333334
2020-10-28,6,Gravis Marketing,704,48,44
2020-10-28,6,J.L. Partners,844,55,41
2020-10-28,6,Gravis Marketing,770,43,52
2020-10-28,6,Rasmussen (Pulse Opinion Research),1500,48,47
2020-10-28,6,Morning Consult,16374,52,43
2020-10-28,6,AtlasIntel,1726,50.9,46.2
2020-10-28,6,American Research Group,600,58,39
2020-10-28,6,SurveyMonkey,38783,51,47
2020-10-28,6,The Political Matrix/The Listener Group,900,48.2,47.7
2020-10-28,6,HarrisX,2359,53,47
2020-10-28,6,Marist,800,52,46
2020-10-28,6,Trafalgar Group,1058,46.6,49.1
2020-10-28,6,Trafalgar Group,1088,46.9,49.6
2020-10-28,6,Trafalgar Group,1002,46.4,48.9
2020-10-28,6,EPIC/MRA,600,48,41
2020-10-28,6,TIPP,945,50.15,45.05
2020-10-28,6,Monmouth U.,509,50.5,45.5
2020-10-28,6,U. New Hampshire,864,53,45
2020-10-28,6,Nielson Brothers,484,40,55
2020-10-28,6,Auburn University at Montgomery,853,38.9,58.1
2020-10-28,6,Muhlenberg,419,49,44
2020-10-28,6,Angus Reid,2231,53,45
2020-10-28,6,Kiaer Research,669,53.5,40.6
2020-10-28,6,USC Dornsife,5279,53.849999999999994,42.18
2020-10-28,6,University of Wyoming,614,31,59
2020-10-28,6,SurveyMonkey,739,31,68
2020-10-28,6,SurveyMonkey,1359,32,66
2020-10-28,6,SurveyMonkey,4569,55,43
2020-10-28,6,SurveyMonkey,7424,62,36
2020-10-28,6,SurveyMonkey,1167,69,29
2020-10-28,6,SurveyMonkey,7663,55,43
2020-10-28,6,SurveyMonkey,2783,43,55
2020-10-28,6,SurveyMonkey,15145,47,51
2020-10-28,6,SurveyMonkey,5099,42,56
2020-10-28,6,SurveyMonkey,1098,41,57
2020-10-28,6,SurveyMonkey,4725,44,54
2020-10-28,6,SurveyMonkey,910,67,32
2020-10-28,6,SurveyMonkey,10599,52,46
2020-10-28,6,SurveyMonkey,5422,61,38
2020-10-28,6,SurveyMonkey,3191,40,59
2020-10-28,6,SurveyMonkey,8089,47,51
2020-10-28,6,SurveyMonkey,10220,63,34
2020-10-28,6,SurveyMonkey,3333,50,49
2020-10-28,6,SurveyMonkey,2719,52,46
2020-10-28,6,SurveyMonkey,6472,60,37
2020-10-28,6,SurveyMonkey,1791,55,44
2020-10-28,6,SurveyMonkey,2423,46,53
2020-10-28,6,SurveyMonkey,700,42,57
2020-10-28,6,SurveyMonkey,8720,52,47
2020-10-28,6,SurveyMonkey,1471,48,50
2020-10-28,6,SurveyMonkey,2116,37,62
2020-10-28,6,SurveyMonkey,4759,45,53
2020-10-28,6,SurveyMonkey,5498,55,42
2020-10-28,6,SurveyMonkey,7541,53,45
2020-10-28,6,SurveyMonkey,1995,56,43
2020-10-28,6,SurveyMonkey,5820,66,32
2020-10-28,6,SurveyMonkey,5848,70,28
2020-10-28,6,SurveyMonkey,2633,38,60
2020-10-28,6,SurveyMonkey,3621,42,56
2020-10-28,6,SurveyMonkey,3442,47,51
2020-10-28,6,SurveyMonkey,4734,43,55
2020-10-28,6,SurveyMonkey,8056,57,41
2020-10-28,6,SurveyMonkey,1799,40,58
2020-10-28,6,SurveyMonkey,3005,49,50
2020-10-28,6,SurveyMonkey,1263,63,34
2020-10-28,6,SurveyMonkey,7019,50,48
2020-10-28,6,SurveyMonkey,14571,48,50
2020-10-28,6,SurveyMonkey,1323,62,37
2020-10-28,6,SurveyMonkey,969,89,9
2020-10-28,6,SurveyMonkey,3782,63,35
2020-10-28,6,SurveyMonkey,5925,59,40
2020-10-28,6,SurveyMonkey,5687,52,46
2020-10-28,6,SurveyMonkey,2239,38,60
2020-10-28,6,SurveyMonkey,3363,37,61
2020-10-28,6,SurveyMonkey,1147,44,54
2020-10-28,6,SurveyMonkey,22450,61,37
2020-10-27,7,Gravis Marketing,614,49,46
2020-10-27,7,YouGov,1365,54,43
2020-10-27,7,Rasmussen (Pulse Opinion Research),1500,47,48
2020-10-27,7,SurveyMonkey,29809,51,47
2020-10-27,7,RMG Research,800,51,45
2020-10-27,7,Mitchell,759,52.4,42
2020-10-27,7,Marist,743,51,47
